filename,gen,mean_dist_to_ref
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,274,0.06852791878172589
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,791,0.07309644670050762
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,913,0.07388606880992668
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,1278,0.07971423199849596
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,1673,0.08104906937394246
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,2038,0.08544839255499154
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,2221,0.08767881864328565
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,2434,0.08980866848887153
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,2586,0.09306260575296108
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,2768,0.09517766497461928
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run6_rep0_dist_to_ref.csv,2920,0.09475465313028765
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,122,0.06683587140439932
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,274,0.06869712351945854
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,791,0.0751269035532995
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,913,0.07825719120135363
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,1278,0.07821018988531679
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,1673,0.0868020304568528
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,2038,0.08784545967287084
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,2221,0.091985848331026
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,2434,0.093713393205779
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,2586,0.09137055837563451
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,2768,0.09616469261139311
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run7_rep0_dist_to_ref.csv,2920,0.09550667418687724
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,122,0.06446700507614213
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,274,0.06666666666666667
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,791,0.07309644670050762
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,913,0.0781161872532431
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,1278,0.08178228990411732
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,1673,0.08155668358714044
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,2038,0.08488437676254935
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,2221,0.08798646362098139
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,2434,0.08759599114929065
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,2586,0.09122955442752397
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,2768,0.0895375070501974
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run8_rep0_dist_to_ref.csv,2920,0.09118255311148712
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,122,0.06345177664974619
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,274,0.06802030456852792
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,791,0.07698815566835872
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,913,0.07868020304568528
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,1278,0.08159428463996991
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,1673,0.08629441624365482
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,2038,0.09235758601240834
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,2221,0.09152438086448239
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,2434,0.09293244826239751
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,2586,0.09686971235194586
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,2768,0.09475465313028765
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run9_rep0_dist_to_ref.csv,2920,0.09701071630005641
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,122,0.06412859560067682
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,274,0.06632825719120135
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,791,0.08257191201353638
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,913,0.08192329385222787
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,1278,0.08046625305508555
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,1673,0.09187817258883249
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,2038,0.09151156232374506
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,2221,0.09536994308567913
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,2434,0.09618638552648705
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,2586,0.09686971235194586
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,2768,0.10053581500282008
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run0_rep0_dist_to_ref.csv,2920,0.10584696371498402
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,122,0.06395939086294417
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,274,0.06920473773265651
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,791,0.07834179357021996
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,913,0.0847433728144388
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,1278,0.08497837939462305
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,1673,0.08781725888324873
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,2038,0.08826847151720248
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,2221,0.09137055837563451
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,2434,0.09670701548874137
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,2586,0.09658770445572476
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,2768,0.09475465313028765
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run1_rep0_dist_to_ref.csv,2920,0.09889076894153036
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,122,0.06446700507614213
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,274,0.07140439932318104
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,791,0.08612521150592217
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,913,0.08460236886632826
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,1278,0.08817446888512878
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,1673,0.09424703891708967
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,2038,0.10434292160180485
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,2221,0.10321489001692047
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,2434,0.10360536248861121
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,2586,0.10067681895093063
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,2768,0.10913705583756345
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run2_rep0_dist_to_ref.csv,2920,0.11223914269599548
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,122,0.06514382402707275
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,274,0.0703891708967851
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,791,0.08104906937394248
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,913,0.08417935702199662
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,1278,0.09193457416807671
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,1673,0.10287648054145516
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,2038,0.10702199661590524
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,2221,0.1085986771265959
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,2434,0.11037355199791749
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,2586,0.1161872532430908
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,2768,0.11872532430908066
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run3_rep0_dist_to_ref.csv,2920,0.125775521714608
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,122,0.06548223350253807
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,274,0.07072758037225042
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,791,0.08189509306260576
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,913,0.08347433728144388
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,1278,0.0872344425643918
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,1673,0.09475465313028765
output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0_run4_rep0_dist_to_ref.csv,2038,0.10053581500282008
