./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,2768,2000,193,1,4,1,1,124,53,0.586169692507797,1.0,0.7021373714118296,0.8348266377828285
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,2920,2000,182,2,1,2,0,126,48,0.5832867541004078,1.0,0.7010500000000256,0.8320422375545997
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,122,2000,116,5,0,0,4,132,40,0.8802876861728487,0.999505,1.0,0.8807165731319673
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,274,2000,174,1,4,2,2,137,39,0.8766435091564903,1.0,1.0,0.876624177298954
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,791,2000,227,2,2,0,2,141,52,0.869047057712637,0.99901,1.0,0.8698898148639159
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,913,2000,204,1,2,2,1,120,50,0.8673273621746053,0.999505,1.0,0.8677668802314057
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,1278,2000,188,3,1,2,1,113,48,0.8635757146306345,1.0,1.0,0.8635555564359801
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,1673,2000,177,1,3,3,2,101,51,0.8559123764849839,0.999505,1.0,0.8563153237248637
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,2038,2000,198,1,4,3,2,109,45,0.856156739931522,1.0,1.0,0.8561494383860846
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,2221,2000,217,1,2,3,1,135,56,0.8602563032207439,0.999505,1.0,0.8606914623273962
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,2434,2000,193,3,3,0,1,114,63,0.8586536057390881,1.0,1.0,0.8586334476934935
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,2586,2000,184,1,4,2,3,114,54,0.8572255638196752,0.999505,1.0,0.8576469847553546
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,2768,2000,217,1,1,1,0,104,41,0.853926655618772,0.99901,1.0,0.8547852013811873
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run1_rep0_counts.csv,2920,2000,164,3,3,5,1,130,40,0.8523060319723771,0.999505,1.0,0.8527316664795774
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,122,2000,132,5,2,0,0,110,42,0.8815783196051733,1.0,1.0,0.8815642128553745
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,274,2000,191,4,1,1,5,125,41,0.8796717269559736,1.0,1.0,0.8796765553283127
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,791,2000,186,2,2,1,2,129,43,0.8703599885591582,0.999505,1.0,0.8708037657544129
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,913,2000,184,0,3,2,3,124,49,0.8682001310076869,1.0,1.0,0.8682144028310997
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,1278,2000,224,5,1,0,4,122,45,0.8625147706525442,1.0,1.0,0.8624918169755269
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_conscost0.99_run2_rep0_counts.csv,1673,2000,181,1,3,1,1,124,48,0.8571809445990047,0.999505,1.0,0.857625387018145
